chain,scenario,time_h,parent_fraction,intermediate_fraction,daughter_fraction,daughter_fraction_per_natural_element_atom
Ce_to_Pr,solid_reference,48,0.9999999015040049,9.642511521842157e-08,2.0708799193601678e-09,1.8323145526498765e-09
Ce_to_Pr,solid_reference,72,0.999999852256011,1.4311722182291268e-07,4.626767220023936e-09,4.093763636277179e-09
Ce_to_Pr,solid_reference,168,0.9999996552640594,3.2023963731854047e-07,2.4496303253176054e-08,2.1674329118410172e-08
Ce_to_Pr,solid_reference,336,0.9999993105282377,5.960722801691048e-07,9.339948218046466e-08,8.263986183327514e-08
Ce_to_Pr,solid_reference,720,0.9999985225610915,1.0913667901477743e-06,3.8607211840034893e-07,3.4159661036062875e-07
Ce_to_Pr,solid_reference,1440,0.9999970451243656,1.6669788324521148e-06,1.2878968019456652e-06,1.1395310903615246e-06
Ce_to_Pr,solid_reference,2880,0.9999940902574626,2.1306885305467385e-06,3.7790540068998444e-06,3.3437069853049824e-06
Ce_to_Pr,solid_reference,8760,0.9999820246415587,2.308406120041653e-06,1.566695232123841e-05,1.3862119413831746e-05
Ce_to_Pr,liquid_standard_same_source,0,1.0,0.0,0.0,0.0
Ce_to_Pr,liquid_standard_same_source,6,0.9999999881761953,1.1792342868865566e-08,3.146184423028741e-11,2.7837439774958302e-11
Ce_to_Pr,liquid_standard_same_source,12,0.9999999763523907,2.3521985011173922e-08,1.2562430399548249e-10,1.1115238417520291e-10
Ce_to_Pr,liquid_standard_same_source,24,0.9999999527047819,4.679449887744258e-08,5.007191977847198e-10,4.430363461999201e-10
Ce_to_Pr,liquid_standard_same_source,48,0.9999999054095661,9.260166852554144e-08,1.9887654044670997e-09,1.7596596298724898e-09
Ce_to_Pr,liquid_standard_same_source,72,0.9999998581143524,1.3744234081225926e-07,4.4433067520844784e-09,3.931437814244347e-09
Ce_to_Pr,liquid_standard_same_source,168,0.9999996689335202,3.075415033307387e-07,2.352497645546305e-08,2.0814899167793705e-08
Ce_to_Pr,liquid_standard_same_source,336,0.9999993378671501,5.724368414173147e-07,8.96960084650539e-08,7.936302828987969e-08
Ce_to_Pr,liquid_standard_same_source,720,0.99999858114443,1.0480919684375265e-06,3.707636015969898e-07,3.2805163469301655e-07
Ce_to_Pr,liquid_standard_same_source,1440,0.9999971622908731,1.6008799320552645e-06,1.2368291948463574e-06,1.0943464716000572e-06
Ce_to_Pr,liquid_standard_same_source,2880,0.9999943245897988,2.0462028409019886e-06,3.6292073603426353e-06,3.211122672431164e-06
Ce_to_Pr,liquid_standard_same_source,8760,0.9999827373939851,2.216874621272885e-06,1.5045731393594403e-05,1.3312463137052328e-05
Ce_to_Pr,liquid_hypothesis_source_x10,0,1.0,0.0,0.0,0.0
Ce_to_Pr,liquid_hypothesis_source_x10,6,0.999999881761959,1.1792342240871493e-07,3.146186160169702e-10,2.7837455145181524e-10
Ce_to_Pr,liquid_hypothesis_source_x10,12,0.9999997635239318,2.3521982503651608e-07,1.256243135159912e-09,1.1115239259894901e-09
Ce_to_Pr,liquid_hypothesis_source_x10,24,0.9999995270479196,4.6794488882845205e-07,5.007191559659488e-09,4.430363091986715e-09
Ce_to_Pr,liquid_hypothesis_source_x10,48,0.9999990540960629,9.260162882883008e-07,1.9887648777982814e-08,1.7596591638759196e-08
Ce_to_Pr,liquid_hypothesis_source_x10,72,0.99999858114443,1.374422521217407e-06,4.443304881710915e-08,3.931436159337818e-08
Ce_to_Pr,liquid_hypothesis_source_x10,168,0.9999966893401349,3.075410337613128e-06,2.3524952752799086e-07,2.0814878195676632e-07
Ce_to_Pr,liquid_hypothesis_source_x10,336,0.9999933786912302,5.72435051045486e-06,8.969582593726118e-07,7.93628667892887e-07
Ce_to_Pr,liquid_hypothesis_source_x10,720,0.9999858115348912,1.0480845678528154e-05,3.707619430282734e-06,3.2805016719141633e-06
Ce_to_Pr,liquid_hypothesis_source_x10,1440,0.9999716232710949,1.6008552446001854e-05,1.2368176459097714e-05,1.0943362531009658e-05
Ce_to_Pr,liquid_hypothesis_source_x10,2880,0.9999432473474286,2.046130401769119e-05,3.629134855374339e-05,3.2110585200352155e-05
Ce_to_Pr,liquid_hypothesis_source_x10,8760,0.9998273873491249,2.216574324248934e-05,0.00015044690763260312,0.00013311542387332725
